ID,CONDITION,code,gender,start,end,feel.pre,sam.pre.h,sam.pre.ar,happy.post,persp,limits,compr1,persp2,compr3,vivid,image,p.future,certainty,post.f.hap,post.f.ar,cheat,cheat_TEXT,live.us,eng.native,fq1,fq2,fq3,fq4,compr,distance,issue,persp.r,others.perspective,persp2.r,WC,WPS,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,flexible_n,post.mood,she.vs.i,mood.change,not.live.us,age,uncertainty,limits.all,WISDOM
7,1,1,1,1/23/2012 11:09:00,1/23/2012 11:24:00,1,5,2,1,6,5,2,3,3,2,4,"Our relationship will not be the same. I will develop trust issues and accuse him of cheating every time I feel he is cheating again. The friend he cheated on me with, we will no longer be friends. I will have to find new friends and make sure my boyfriend does not meet them and vise versa.",6,2,2,1, ,18,1,Great!,None,The questions about if I felt depressed.,The study was about feelings before and after a terrible incident occured in a romantic relationship.,2.5,-.5,-.5,2,2.5,2,57,14.25,19.3,19.3,8.77,3.51,0,5.26,1.75,0,3.51,19.3,15.79,2,1,-3.51,4,1,19,2,3.5,-.986849366198585
11,3,3,1,1/24/2012 14:30:00,1/24/2012 14:40:00,1,4,2,2,3,3,5,5,6,3,3, ,5,3,3,1, ,14,1,Fine,No,No,Analyzing our reaction to a situation based on current emotional and relational status.,5.5,-.5,.5,5,5,3,93,23.25,17.2,9.68,0,0,0,5.38,4.3,7.53,7.53,15.05,13.98,5,2.5,5.38,1.5,6,20,3,3,1.0372246729866
13,3,3,1,1/24/2012 14:34:00,1/24/2012 14:50:00,1,5,3,2,6,2,2,1,1,1,5, ,7,1,3,1, ,19,1,This study was interesting because I've never considered my boyfriend cheating on me before. I trust him so much. The study did a good job of forcing me to think about it thouroughly.,"The only problem occured at the beginning when the sound wasn't working, but the researcher fixed that for me.",I find it weird how much I responded to thinking about my boyfriend cheating on me. A tear actually rolled down my cheek. Maybe I'm PMSing. /,"I think that the study was about how relationships affect people. However, there were some questions about what we do when we're upset so it may have been about that. The relationship scenario could have possibly been just to get us in an upset mood.",1.5,-.5,.5,2,1.5,1,206,15.85,25.24,18.93,11.65,.97,0,6.31,0,6.31,3.4,16.5,13.11,1,3,-5.34,2,1,20,1,1.5,-2.48601577013619
15,2,2,1,1/24/2012 14:32:00,1/24/2012 14:43:00,1,3,8,1,3,7,6,5,5,1,4, ,7,2,4,2,"Not as extreme, beginning of our relationship I was cheated on with words",20,1,Kind of hard emotionally,"No, it was just not fun to imagine that situation",No,How negative situations in your relationship affect your emotions and thoughts,5.5,.5,-.5,5,5,5,136,19.43,16.91,8.09,2.94,2.94,0,0,2.21,8.82,3.68,18.38,11.03,4,1,-2.94,2,1,21,1,4,1.11664099987207
16,3,3,1,1/24/2012 14:32:00,1/24/2012 14:47:00,1,4,8,3,3,6,3,4,2,2,4, ,7,2,4,2,Boyfriend cheated but wouldn't admit it - we broke up and never spoke again,19,1,"A few typos, and kind of silly in the ""close your eyes and imagine"" part. Would've been more effective to have interactions with questions etc. to start thinking about cheating.",Typos - no other problems.,Closing your eyes and imagining was incredible weird.,"Relationships, trust, how people react to break ups",2.5,-.5,.5,5,4.5,5,148,24.67,13.51,11.49,.68,0,0,10.81,0,2.03,8.11,17.57,11.49,4,3,10.13,1,1,20,1,3.5,.0412326907405182
17,3,3,1,1/24/2012 14:39:00,1/24/2012 14:53:00,1,4,8,2,2,5,4,5,2,3,5, ,6,2,2,1, ,19,1,"It was okay. I definitely had some confusion and tried to think deeply into what had happened to ""my friend"" and relate it to myself. Also, I tried to reconcile if this has happened to me before... it really depends on the definition of cheating.",N/A,"Not really. There was a question that confused me a bit with wording. I cannot remember what it is, unfortunately.",It could be about placing oneself into the first person perspective or about relationships... or both.,3,-.5,.5,6,5.5,1,153,17,18.95,9.15,7.84,0,0,1.31,0,9.8,5.23,19.61,14.38,3,2.5,-6.53,1.5,1,20,2,3.5,.118320813239968
19,2,2,1,1/24/2012 15:18:00,1/24/2012 15:42:00,1,3,2,2,3,5,3,3,1,3,4, ,7,3,3,2,"There was a rumor that my boyfriend had cheated on me, but it was false.",18,1,"Interesting, not difficult to complete.",Talking outside of the room I was in distracted me from imagining the situation from a third person perspective. I believe in general it would be difficult to imagine such a situation as not personal.,"I thought the questions regarding arousal were weird. I am also not sure why my current happiness would relate to how I would respond to a situation. I have felt the same way my entire life, both in and out of relationships.","I believe the study was attempting to discern if people believe personality is innate or learned and can be changed. I believe it was attempting to prove that those who believe their partner would change are more likely to forgive their partner for an incident like cheating in the hopes that it will get better, and people who believe personality is innate are less likely to forgive their partner. However, my view is unrelated to my partners personality. It would only take one incident to lose my trust, regardless of whether or not the person is able to change or not.",2,.5,-.5,5,4,3,165,23.57,15.76,10.3,7.88,.61,0,0,1.82,5.45,7.88,12.12,9.7,1,2.5,-7.88,.5,1,19,1,3,-1.23537519233133
20,3,3,1,1/24/2012 15:21:59,1/24/2012 15:43:00,1,3,3,2,1,7,3,5,1,5,4, ,5,3,4,1, ,20,1,"Challenging in the sense of thinking from specific perspectives, otherwise simple to complete.",Not being able to go back/ hear the clips again was frustrating.,No.,Different people's reactions to a particular situation,2,-.5,.5,7,6,3,85,21.25,11.76,5.88,3.53,0,0,2.35,0,5.88,8.24,22.35,14.12,3,2.5,-1.18,.5,1,21,3,5,.51827236292448
22,3,3,1,1/24/2012 15:30:00,1/24/2012 15:54:00,1,4,2,2,2,7,3,6,1,2,3, ,6,3,3,2,"After I broke up with my first boyfriend, we decided to stay friends and that there was a possibility to get back together in the future. The next weekend, he hooked up with my roommate, and I was really hurt.",20,1,Okay. It doesn't take into account a lot of spurious effects that could affect one's decision making regarding the friend's significant other cheating on her.  Having divorced parents and the length of time the friend has been in a relationship could be potential 3rd variables that affect subjects' responses to these questions.,No.,No.,Checking for an effect of one's state of mind/happiness and the state of one's own romantic relationship on one's response to a traumatic event that occurs within a romantic relationship.,2,-.5,.5,6,6,5,78,19.5,19.23,14.1,2.56,0,0,11.54,0,5.13,1.28,16.67,10.26,4,2.5,8.98,1.5,1,21,2,4.5,.620247410618192
23,3,3,1,1/24/2012 16:23:00,1/24/2012 16:46:00,1,4,8,2,6,5,5,6,1,1,2, ,5,2,2,2,"broke up. found out that he was going to hook up with another girl, but I was in town.",19,1,It was fine.,No.,"You would ask the same question, but reword it to see if I changed my answer just by asking differently.","Trying to see if we would react  in situations if we say we know what will happen and what we should do. If our friend is cheated on we'd tell them to not go back with them, but if it's you, it's all of a sudden a different story.",3,-.5,.5,2,4,1,143,28.6,25.87,19.58,0,0,0,18.18,1.4,6.29,0,18.18,11.19,1,2.5,18.18,1.5,1,20,3,4,-.613032566021628
24,2,2,1,1/24/2012 16:24:00,1/24/2012 16:39:00,1,5,3,1,6,6,6,2,4,3,1, ,6,2,3,1, ,19,1,Very straight forward and not difficult to complete.,No difficulties or problems. It was very well organized.,Not at all.,The way the mind works when given a scenario that effects the subject emotionally.,5,.5,-.5,2,2,3,150,30,18.67,10.67,8.67,0,0,2,0,8,6.67,16,12,3,1.5,-6.67,3.5,1,20,2,4,.0114708204335123
27,4,4,1,1/24/2012 16:28:59,1/24/2012 16:49:59,1,4,8,2,4,3,7,4,5,2,2, ,7,2,4,1, ,20,1,"It was ok, nobody ever wants to think about their partner cheating!","The wording was somewhat confusing at time, as well as some of the instructions.",I found that thinking in the third person made me more apathetic to the situation than thinking about it as if I myself were going through it.,How thinking about a situation differs the way you react to it. Also how much you believe that a person is set in their ways.,6,.5,.5,4,4,1,90,15,20,10,2.22,0,2.22,5.56,0,10,3.33,16.67,8.89,5,2,3.34,2,2,22,1,2,.57354725620726
29,1,1,1,1/24/2012 16:31:00,1/24/2012 16:51:00,1,4,3,1,6,6,3,2,1,2,4,"My relationship would not develop after this incident.  Everyday I would worry about my significant other being unfaithful. I wouldn't be able to trust them, therefore the development of our relationship's future would be at a stand still until the trust can be rebuild or one of us walks away.",7,2,5,2,"2 year long relationship, partner cheat with their ex-partner",19,1,It was really interesting that your testing people emotions about their relationships.,Trying to figure the outcome senarios after a partner has been unfaithful.  In a particular situation I would mostly be confused and need time to think about things more.,No,An individual's emotional state in a relationship and how it effects decision making when things go bad.,2,-.5,-.5,2,2,1,54,18,16.67,12.96,7.41,3.7,0,0,1.85,3.7,5.56,14.81,14.81,3,1,-7.41,3,1,20,1,3.5,-.948600185599703
31,1,1,1,1/24/2012 17:11:00,1/24/2012 17:27:59,1,2,8,2,2,5,4,5,2,5,2,I don't think the relationship can develop much after the incident.  I know him well enough that he would not be able to live with himself for doing that to me.  I don't think I could trust him as much and I don't think it would be a very good relationship after that point.  I would be too confused about the contradictory nature of how he behaves when he just talks to another girl almost make sure I'm always okay that he's friends with someone of the opposite sex.  I don't think a condratiction like this would allow me to trust his other attitudes and what not.,6,3,3,1, ,22,1,fine,"no, I found it hard to image the situation a little because I feel it could never happen in the capacity described eg with a friend of mine",no,How people face challeneges in relationships based on how close they are to our partners.,3,-.5,-.5,6,5.5,2,119,23.8,22.69,15.13,8.4,0,0,6.72,0,7.56,5.04,13.45,8.4,3,2.5,-1.68,-.5,1,23,2,3.5,.118320813239968
33,3,3,1,1/25/2012 12:25:00,1/25/2012 12:35:59,1,3,2,1,3,6,7,5,1,3,4, ,7,2,3,1, ,18,1,I think it was fine - the questions were thorough and easy to understand.,Nope!,Nope!,Figuring out the reasoning behind people's thoughts in relationships.,4,-.5,.5,5,5,1,93,23.25,24.73,10.75,3.23,0,0,6.45,1.08,13.98,6.45,12.9,8.6,2,1.5,3.22,1.5,1,19,1,3.5,-.0208230349799055
34,3,3,1,1/25/2012 12:26:00,1/25/2012 12:41:00,1,4,2,3,4,6,6,3,6,5,2, ,6,2,4,1, ,20,1,"It was interesting, but hard for me imagine being cheated on as this is my first real romantic relationship.  however, I did become significantly more irritated after thinking about the scenario",No difficulties or problems for me.  Just the basic difficulty of imaginging being cheated on.,Nothing weird.,Not really sure actually.  Something about reasoning and romantic relationships but I'm not really sure how it all connects.  I guess I would say the study is about how you react to negative information in a domain that is very serious and emotional such as a romantic relationship.,6,-.5,.5,4,3.5,5,233,19.42,15.02,8.15,6.01,0,0,1.72,.43,6.87,6.44,19.74,12.45,4,3,-4.29,1,1,21,2,4,.900409029152742
36,4,4,1,1/25/2012 12:28:00,1/25/2012 12:43:59,1,4,2,2,1,6,2,4,7,1,4, ,5,3,3,1, ,20,1,I thought it was thorough. The questions were worded well.,No.,No.,I think it was about how people in relationships reason through a difficult situation versus how people who aren't in relationships would think about it.,4.5,.5,.5,7,5.5,7,72,14.4,23.61,16.67,4.17,0,2.78,8.33,1.39,6.94,2.78,18.06,13.89,3,2.5,4.16,1.5,1,21,3,4.5,.870443378125338
37,3,3,1,1/25/2012 12:35:00,1/25/2012 12:49:00,1,4,3,3,1,5,6,7,3,1,5, ,7,4,5,2,"I moved on, but then cheated on them and their jealous increased so much the relationship ended due to violence.",23,1,Invoked old feelings and memories.,It brought back emotions I don't think about much but I can handle them better now.,Not really.,See how people think and react about relationships depending on how they currently feel in their relationship now /,4.5,-.5,.5,7,7,1,65,21.67,12.31,1.54,1.54,0,0,0,0,10.77,9.23,13.85,9.23,4,3.5,-1.54,.5,1,24,1,3,.955647585955696
38,2,2,1,1/25/2012 12:59:00,1/25/2012 13:17:00,1,5,3,4,2,6,5,5,3,3,3, ,5,3,4,1, ,20,1,It was interesting,I was confused at first when asked to write about how the situation would go- I wasn't sure if I was supposed to be talking about the hypothetical situation or back to real life (confirmed this with the researcher),"It was weird how after imagining the situation, it felt a little bit like it had actually happened","How when people are more invested in their relationships they're more likely to try to work things out, and are more likely to become upset when imagining a situation in which their partner cheats on them.",4,.5,-.5,6,5.5,2,96,19.2,23.96,16.67,0,0,0,16.67,0,7.29,2.08,26.04,18.75,4,4,16.67,1,1,21,3,4.5,1.02402986182255
39,3,3,1,1/25/2012 13:21:59,1/25/2012 13:34:59,1,4,2,1,2,6,2,6,1,3,4, ,7,3,3,2,We both cheated on each other,19,1,It was pretty simple.,I think I might have missed a situation being read...,No.,Perhaps empathy and a comparison of how we treat the relationships of others depending on our own relationships.,1.5,-.5,.5,6,6,4,171,42.75,19.3,8.77,6.43,0,0,1.75,.58,10.53,5.85,14.62,9.36,3,1.5,-4.68,2.5,1,20,1,3.5,-.15568169938872
40,3,3,1,1/25/2012 13:26:00,1/25/2012 13:44:00,1,4,1,3,2,5,6,6,3,2,5, ,6,4,3,1, ,20,1,It was very interesting to actually analyze my own relationship and realize how happy I actually was.,"Well it is hard to put yourself in someone else's shoes, especially because I can't really compare myself to my friends when it comes to relationships because for some reason, when I get cheated on, I take it as more of a challenge than a ""make or break"" of the relationship, whereas my friends would be devastated.","Not really, this just seemed like a study that was asking questions about how you would respond to different scenarios and how to apply that to your own relationship if that scenario were to happen.",I think it was about how people trying to reason out keeping someone around even if they do something very wrong to them. Personal interests may over take logic.,4.5,-.5,.5,6,6,4,130,32.5,20,12.31,3.08,0,0,2.31,6.92,7.69,6.15,16.92,12.31,3,3,-.77,1,1,21,2,3.5,.622997932065319
41,2,2,1,1/25/2012 13:27:00,1/25/2012 13:41:00,1,4,8,3,6,6,3,2,1,1,5, ,5,2,3,2,"Best friend cheated on me with my boyfriend. Never talked to him again, but friend and I talked about it, but I never really forgave and eventually we stopped talking also",22,1,Good. Although now I'm a bit irritable as compared to when I came in haha,none,"Not that I can tell. Some of the questions were almost the same, just worded differently",How we handle the stress of relationships even just imagining them?,2,.5,-.5,2,2,1,98,12.25,13.27,10.2,8.16,0,0,0,2.04,3.06,10.2,10.2,8.16,2,2.5,-8.16,1.5,1,23,3,4.5,-.869183858714239
42,4,4,1,1/25/2012 13:28:00,1/25/2012 13:42:00,1,4,1,3,2,6,6,5,5,2,5, ,6,4,1,2,"In the past, I have been cheated on, so I could visualize myself in my friend's imagined situation.",20,1,Fine.,"Some of the questions seemed to be worded weird.  There were a few typos that I noticed, also.","Other than the wording of some questions, no.",Handling a big decision within a relationship.,5.5,.5,.5,6,5.5,6,157,26.17,24.2,15.29,6.37,0,0,8.92,0,8.92,8.28,14.65,12.1,4,3,2.55,1,1,21,2,4,1.2319783029704
43,1,1,1,1/25/2012 13:30:00,1/25/2012 13:47:00,1,4,2,3,4,4,1,1,1,5,1,"The person that I am, how I have been raised, and how seriosuly I take being in relationships, this would end the relationship.  I do not believe in entering in relationships if you are not fully committed, especially at this point in my life.  I have said to my partner that if he ever felt mildly inclined to be unfaithful to me, to just break up with me and it would be so much easier on both of us - there would be no guilt, just pain; there would be no betrayl; just sadness.  This is tollerable.  I would not -- and have not in the past -- entered into a relationship while I was unsure if that is where I wanted to be.  If my mind wandered, I'd end it.  No matter how much I love my partner, and how hard i know it would be to end it, I would.  It's like ripping off a bandaid. And i'm not saying this because I don't actually love my partner or its not a very serious relationship or whatever, i'm saying this because I would, in this situation, put my pride above my personal feelings.  That's the type of person I am, good or bad.",7,3,4,1, ,20,1,Thought provoking.,"It is slightly difficult to imagine my partner cheating on me, not that my life is oh so perfect or anything, and i'm sure people who get cheated on probably say this before anyway, but I just feel like it would never happen. So regardless of the validity of that statement, it was hard to imagine.",No,"Honestly, I'm not sure. Maybe who people in relationships vs people not in relationships think about (themselves, others) who they blame etc.",1,-.5,-.5,4,2.5,4,214,21.4,21.5,13.55,12.15,.47,.47,.47,0,7.94,3.27,16.36,12.15,3,2.5,-11.68,1.5,1,21,1,2.5,-1.45560550881107
44,4,4,1,1/25/2012 13:42:59,1/25/2012 14:01:00,1,3,8,2,2,6,5,6,5,3,4, ,6,2,3,1, ,20,1,fine.,"It was a little difficult to view the situation in the third person. I kept trying to view it from my friend's perspective, but since there would be so many details that I couldn't know about, it's hard to imagine it from another person's point of view. I believe that the foundation behing most romantic relationships is something that other people on the outside of the relationship can't see.",I thought it was weird that the scenario was given by audio and not written down.,"I think the study was about how thinking about serious romantic relationship issues can change your emotional state, even if they are issues in someone else's relationship.",5,.5,.5,6,6,4,174,29,16.09,9.77,1.15,0,0,8.05,.57,6.32,8.05,14.37,9.77,3,2.5,6.9,.5,1,21,2,4,.934169245220168
45,4,4,1,1/25/2012 16:16:00,1/25/2012 16:28:00,1,3,8,2,3,5,1,5,4,3,4, ,5,3,3,1, ,19,2,"It was good, you should also do a control group with people who have never been in a relationship or have recently gotten out of one to see the differences",One of the questions the order of the numbers was messed up. 4 and 5 were switched.,Nope,Putting yourself in another perspective about relationship issues,2.5,.5,.5,5,5,2,153,13.91,18.95,9.15,1.96,0,2.61,4.58,0,9.8,3.92,16.34,9.8,2,2,2.62,1,1,20,3,4,-.22877147612775
46,1,1,1,1/26/2012 14:19:00,1/26/2012 14:34:59,1,5,3,4,7,6,3,4,3,3,3,"I would definitely go about my relationship in a more skeptical way if I did end up staying with my boyfriend after he cheated on me.  There would not be as much trust between us, and it would take me a while to feel as comfortable with him as I did before.  I would question why he was unfaithful, thinking of what I may have done to inspire this.  But on the other hand, I would have to find out what was going through his mind when he cheated.  Was he drunk?  Was he drugged?  Was he thinking that I would never find out?  Did he need to rebel in order to be completely satisfied with our relationship?  There are many questions that would race through my mind, and I would have to reassure myself that it had nothing to do with him wanting to get with a prettier/wealthier/better girl than I am.",7,4,4,2,"I was told that a relationship had ended, and unfortunately the guy was lying to me.  I was constructed as the ""bad guy"" in this situation",20,1,Much more engaging then other ones I've participated in.  I like the use of a voice as opposed to reading a prompt.,"I found that some of the questions were worded oddly, such as ""and I would lose it, if my relationship were over.""","Multiple questions seemed to be asking the same thing, but were worded differently.  Measured state of happiness and arousal throughout.",How our perception of situations influences our emotional and cognitive state.,3,-.5,-.5,1,2.5,1,155,17.22,23.23,17.42,9.68,1.29,0,6.45,0,5.81,2.58,20.65,17.42,4,3.5,-3.23,1.5,1,21,1,3.5,-.290336583077136
47,2,2,1,1/26/2012 14:20:59,1/26/2012 14:40:00,1,3,8,2,3,6,4,5,6,3,4, ,6,2,2,1, ,18,1,It was extremely easy and interesting.,Sometimes it can be hard for me to completely immerse myself into a different situation.,Not really,How different people handle challenges in their relationships.,5,.5,-.5,5,5,6,124,20.67,27.42,19.35,8.06,2.42,0,8.06,.81,8.06,3.23,22.58,14.52,3,3,0,0,1,19,2,4,.703494639023504
48,3,3,1,1/26/2012 14:31:00,1/26/2012 14:50:00,1,3,8,3,3,7,7,5,2,3,4, ,6,2,3,1, ,19,1,Fine,"*You asked about gender when you meant to ask about sex / *Some questions were worded confusingly, asked to ""strongly agree"" or ""strongly disagree"" with a indirectly worded statement","I don't currently have any close female friends, so the ""Imagine a close female friend"" bit was kind of weird","Likely how people process emotion, reasoning, extrapolation etc wrt relationships",4.5,-.5,.5,5,5,3,113,28.25,8.85,3.54,0,0,0,1.77,1.77,5.31,7.96,17.7,11.5,3,3.5,1.77,-.5,1,20,2,4.5,.755106075027006
49,3,3,1,1/26/2012 14:33:00,1/26/2012 14:51:59,1,3,2,2,7,5,5,1,2,3,3, ,3,2,2,1, ,20,1,This study was a little confusing but insightful for me.,There were difficulties somewhere in the study where I was asked to contemplate my previous responses but I was confused as to which previous responses were being referred to.,No,"I don't really know, but maybe this study was about how people deal with conflict in relationships based on how they deal with their own feelings and emotions.",3.5,-.5,.5,1,1,2,137,17.12,15.33,9.49,5.11,0,0,4.38,0,5.84,5.84,18.98,11.68,2,2.5,-.73,.5,1,21,5,5,-.529127274604708
51,1,1,1,1/26/2012 15:15:00,1/26/2012 15:31:00,1,3,2,1,1,7,6,5,1,2,4,The relationship will end after this incident. I am extremely upset and confused at my boyfriend and want to be with him now more than ever but i will never be able to forgive him for cheating on me. I wonder what the other girl has that i don't. I will probably be upset for a very long time and will try to find ways to get over my boyfriend but he will be the only thing on my mind. I won't be interested in other boys for a very long time.,6,2,4,2,I found out my boyfriend had hooked up with another girl at a party a few weeks after it had happened.,18,1,It was interesting because it was on a topic that I am so closely related to because I have been cheated on in the past.,No,No,The reasons people are in relationships and how people deal with being single after being in a relationship.,3.5,-.5,-.5,7,6,1,96,19.2,19.79,13.54,10.42,0,0,3.12,0,6.25,5.21,17.71,12.5,3,1,-7.3,2,1,19,2,4.5,.726220804072324
52,2,2,1,1/26/2012 15:19:59,1/26/2012 15:35:59,1,3,3,1,3,7,5,6,2,3,3, ,6,1,5,1, ,18,1,Mildly upsetting and definitely made me think about how I react to things.,No.,I don't think so.,How people's emotional states change after an upsetting situation.,3.5,.5,-.5,5,5.5,4,175,29.17,18.86,10.29,7.43,.57,0,2.29,0,8.57,6.86,17.71,12,3,2,-5.14,1,4,22,2,4.5,.610883500973992
54,3,3,1,1/26/2012 15:28:00,1/26/2012 15:46:00,1,4,2,3,2,6,2,5,3,3,2, ,6,3,3,2,My sister's relationship ended because he cheated on her.,23,1,"It is worth thinking about how you would react given your relationship you thought was firm, was in reality disrupted by your partner's actions.","No. Some of the questions were a little wordy, so I had to read them twice.",No.,How relationships effect mental states.,2.5,-.5,.5,6,5.5,4,113,22.6,24.78,15.04,13.27,.88,0,0,.88,9.73,3.54,23.01,15.93,2,3.5,-13.27,.5,1,24,2,4,-.113434173029418
55,3,3,1,1/26/2012 15:29:00,1/26/2012 15:40:00,1,3,2,2,1,6,3,5,3,3,3, ,6,3,3,1, ,21,1,It was interesting to think about the scenario presented and the difference between what I would feel for my friend and what I would feel if it happened to me.,No,No,How people analyze problems and difficult situations,3,-.5,.5,7,6,2,118,23.6,22.03,16.95,4.24,0,0,11.86,.85,5.08,3.39,16.95,11.86,3,3,7.62,0,1,22,2,4,.415049490917475
56,3,3,1,1/26/2012 15:30:00,1/26/2012 15:42:00,1,4,2,2,4,6,6,4,6,4,5, ,6,3,3,2,awful,21,1,"good, made me really think how affecting relationships are ins omeones life, good and bad.","nope, everything was explained very well",nope,seeing how relationships affect people,6,-.5,.5,4,4,3,28,14,14.29,10.71,0,0,0,10.71,0,3.57,7.14,17.86,17.86,5,2.5,10.71,1.5,1,22,2,4,1.29911275452396
59,1,1,1,1/26/2012 16:13:00,1/26/2012 16:28:00,1,4,8,1,6,2,1,1,1,3,4,"I would break up with my boyfriend. Cheating is the ultimate betrayal, circumstantial things like alcohol, drugs, and others do not make an excuse for cheating. If cheated on I would feel sad, angry, confused, betrayed, and disappointed.",7,2,4,2,"Last semester my boyfriend and I went to seperate colleges, it was the first time we had been apart and it was really hard. I saw some photos on facebook of him being 'cuddily and close' with another girl and it really upset me, and I confronted him and he said he hadnt cheated, but I'll never really know for sure and its still upsetting to think about",21,1,this was interesting although slightly emotionally upsetting to consider my partner cheating,"there were a few questions that had typos like loose instead of lose that were slightly distracting, but overall didnt have an affect on my responses.",no,someones ability to reason based on an intense emotional situation,1,-.5,-.5,2,1.5,1,38,12.67,13.16,7.89,7.89,0,0,0,0,5.26,5.26,15.79,10.53,2,1,-7.89,3,1,22,1,1.5,-2.33242928643897
61,3,3,1,1/26/2012 16:30:00,1/26/2012 16:49:00,1,3,8,1,3,1,1,2,2,2,5, ,6,1,4,2,"2 years ago: together for a year. he cheated with his ex, I dumped him. hate him still.",19,1,good. interesting.,hard to imagine myself in a friend's situation and how she would act when the situation has already played out in real life,nah,how realtionship issues affect arousal,1.5,-.5,.5,5,3.5,3,155,22.14,19.35,13.55,3.23,.65,0,9.03,.65,5.81,6.45,20,11.61,4,1,5.8,2,1,20,2,1.5,-1.17456729092419
63,3,3,1,1/27/2012 10:06:59,1/27/2012 10:18:00,1,4,2,2,2,6,5,6,3,3,3, ,5,3,3,1, ,19,1,it was interesting to have to imagine a scenario.,No problems with the study,Nothing weird,How events in your own or anothers relationship can affect people either greately or not at all.,4,-.5,.5,6,6,3,43,43,18.6,13.95,2.33,0,0,4.65,6.98,4.65,6.98,16.28,13.95,3,2.5,2.32,1.5,1,20,3,4.5,.856000742647997
64,2,2,1,1/27/2012 10:08:00,1/27/2012 10:20:59,1,3,3,2,3,3,5,5,2,2,4, ,5,1,4,1, ,20,1,"It was very interesting to think about and imagine, but it made me very sad.",No,I found the audio instructions a little weird.,How you handle emotions when presented with a difficult situation.,3.5,.5,-.5,5,5,3,188,26.86,21.81,12.23,8.51,2.13,0,1.06,.53,9.57,4.26,15.96,10.64,3,2.5,-7.45,.5,1,21,3,3,-.0486279258618665
66,2,2,1,1/27/2012 10:11:00,1/27/2012 10:34:59,1,3,2,2,7,7,7,6,2,3,2, ,3,3,3,1, ,19,1,Good questions.,No.,No.,How perspectives on one's relationship reflect one's behavior toward his or her partner.,4.5,.5,-.5,1,3.5,2,123,24.6,23.58,14.63,4.88,4.07,0,5.69,0,8.94,4.88,16.26,8.94,3,2,.810000000000001,1,3,22,5,6,.953268289469537
67,4,4,1,1/27/2012 10:15:00,1/27/2012 10:35:59,1,4,1,2,3,1,1,2,1,3,1, ,6,2,1,1, ,19,1,Overall the study was good .,"some of the questions were difficult to read and understand the first time reading them, After I read the questions over, I then began to understand what the question or statement was asking.",No,I think the study was about a persons attention spand and being able to refrain from internet usage while completeing this survey. Internet can be a big distraction at times and I think that this is what the study was about.,1,.5,.5,5,3.5,5,104,20.8,16.35,11.54,4.81,0,0,6.73,0,4.81,6.73,22.12,12.5,-99,2,1.92,2,1,20,2,1.5, 
