id,tx,traffic.risk
1,1,1.857142857
2,1,1
3,1,3.285714286
4,1,2
5,1,2.428571429
6,1,3.285714286
7,0,1.166666667
8,0,2.428571429
9,0,3
10,1,1.714285714
11,1,3.857142857
12,0,2.571428571
13,0,2.857142857
14,0,3.571428571
15,0,4
16,0,3
17,0,1.714285714
18,0,1.285714286
19,0,2.285714286
20,1,1.857142857
21, ,1.428571429
22,1,1.571428571
23,1,2.142857143
24,1,2.285714286
25,1,1.714285714
26,0,3.714285714
27,0,2
28,0,2.571428571
29,0,2.857142857
30,0,3.428571429
31,0,1.571428571
32,0,2.714285714
33,0,2.142857143
34,0,3.428571429
35,0,1.714285714
36,0,1.571428571
37,0,1.571428571
38,1,2.285714286
39,1,1.571428571
40,1,1.571428571
41,1,2.285714286
42,0,3.285714286
43,1,1.571428571
44,0,2.142857143
45,0,3.285714286
46,1,2.285714286
47,0,1.857142857
48,0,3.285714286
49,0,4
50,0, 
51, , 
52, , 
53, , 
54, , 
55,1,3
56,1, 
57,0,3.142857143
58,1,2.666666667
59,1,1.571428571
60,1,1.857142857
61,1,1.285714286
62,1,3.142857143
63,0,2.428571429
64,1,1
65,1,2.428571429
66,1,1.714285714
67,1,2
68,0,2.571428571
69,1,2.714285714
70,1,3.428571429
71,0,3.571428571
72,1,3
73,1,4.428571429
74,0,2
75,0,1
76,1,2
77,1,3.857142857
78,1,1.142857143
79,1,2.571428571
80,1,3.142857143
81,1,1.142857143
82,1,1.571428571
83,1,3.142857143
84,0,3.5
85,1,1.571428571
86,1,3.142857143
87,1, 
88,0,3.428571429
89,1,3.571428571
90,0,1.285714286
91,0,1.571428571
92,0,2.428571429
93,0,3.142857143
94,1,3.857142857
95,1,1.142857143
96,0,2
97,1,1.857142857
98,1,1.857142857
99,1,4.142857143
100,0,3.571428571
101,1,1
102,1,2.285714286
103,1,1.142857143
104,1,3.142857143
105,1,2.142857143
106,1,1.571428571
107,1,1.285714286
108,1,3.285714286
109,1,1.285714286
110,1,2
111,1,1.142857143
112,1,2.285714286
113,0,2.714285714
114,0,3
115,0,2.857142857
116,0,3
117,0,3.857142857
118,0,3.428571429
119,0,3.428571429
120,0,2.571428571
121,0,3.857142857
122,0,3
123,0,3.142857143
124,0,3.428571429
125,0,2
126,0,2.857142857
127,1,2.714285714
128,0,3.571428571
129,0,2.428571429
130,0,3
131,0,1.857142857
132,1,3.142857143
133,1,2.142857143
134,1,3.714285714
135,1,2.428571429
136,1,1.285714286
137,0,1.571428571
138,1,1.142857143
139,1,1.571428571
140,1,2
141,1,2.428571429
142,1,1
143,1,3.428571429
144,1,1.428571429
145,1,2
146,1,2
147,1,2.285714286
148,1,3.285714286
149,1,2.142857143
150,1,1.666666667
151,1,1.857142857
152,1,3.428571429
153,1,4.714285714
154,1,1.142857143
155,1,2.571428571
156,1,3
157,0,3.571428571
158,0,1.142857143
159,0,3.571428571
160,0,1.285714286
161,0,2.428571429
162,0,2.714285714
163,1,1.857142857
164,0,3
165,1,2.571428571
166,1,1.285714286
167,1,1.714285714
168,1,1.857142857
169,0,3
170,1,1.142857143
171,1,2.857142857
172,1,2
173,1,3.285714286
174,1,2.285714286
175,1,1.571428571
176,1,1.5
177,1,2.428571429
178,1,1.714285714
179,0,3.142857143
180,0,1.714285714
181,1,1.571428571
182,1,2.857142857
183,1,2.571428571
184,0,3.142857143
185,0,3.571428571
186,0,2.285714286
187,1,2.142857143
188,1,1.428571429
189,1,2.142857143
190,1,2.142857143
191,1,2.428571429
192,0,1.285714286
193,1,1.571428571
194,1,1.571428571
195,1,1.142857143
196,1,1
197,1,2.166666667
198,0,1.714285714
199,1,1.428571429
200,1,2.857142857
201,1,1.571428571
202,0,4
203,1,1.285714286
204,1,2.428571429
205,0,2.285714286
206,1,1.428571429
207,1,2.571428571
208,1,1.285714286
209,1,1.857142857
210,0,2.571428571
211,1,2.571428571
212,1,2.428571429
213,1,2.857142857
214,1,1.428571429
215,1,1.571428571
216,1,1.714285714
217,1,2.428571429
218,1,2.428571429
219,1,2.571428571
220,1,1.428571429
221,1,1.857142857
222,0,3.285714286
223,0,1.142857143
224,1,1.571428571
225,1,3.142857143
226,1,1.857142857
227,1,2.285714286
228,1,2.142857143
229,1,3.428571429
230,1,2
231,0,1.571428571
232,1,3
233,1,1.285714286
234,1,2.142857143
235,1,2.571428571
236,0,3.285714286
237,1,1.428571429
238,1,2.285714286
239,0,1.857142857
240,1, 
241,1,1.571428571
242,1,2.142857143
243,0,4.142857143
244,1,2.714285714
245,1,2.714285714
246,1,1.857142857
247,1,1.714285714
248,1,1.714285714
249,0,1.714285714
250,0,2.714285714
251,1,2.571428571
252,0,2
253,1,1.857142857
254, ,3.142857143
255,1,2.571428571
256,1,2.428571429
257,1,1.142857143
258,0,3.428571429
259,0,3.714285714
260,0,2.714285714
261,1,3.142857143
262,0,3.571428571
263,0,3
264,1,2.714285714
265,1,2.428571429
266,1,3.142857143
267,1,1.714285714
268,1,1.428571429
269,0,1.714285714
270,1,1
271,1,2
272,0,3.285714286
273,0,2.428571429
274,0,2.428571429
275,0,2.428571429
276,0,3
277,0,2.285714286
278,0,2.571428571
279,0,2.142857143
280,0,2.571428571