PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
233,27,48,21,0,0,0,0,0,0,0,4,1,1,50,24,26,0,0,0,0,0,0,0,0,6,3,6,1, ,5,40,2,38.7829379101464,29715,28.0567375886525,21150
157,39,0,0,0,0,0,0,0,0,0,61,5,2,19,0,0,0,53,0,28,0,0,0,0,2,2,3,4,20,5,59,2,37.2145110410095,123630,24.3233876520542,65355
275,0,0,50,0,0,50,0,0,0,0,0,5,5,0,0,11,0,0,0,35,0,54,0,0,5,4,5,5,100,5,41,2,20.75,60000,14.4425770308123,107100
111,9,14,17,17,17,8,7,5,2,2,2,7,7,2,7,7,11,11,13,14,14,14,5,2,1,3,3,4,150,8,59,2,35.3795804902704,59355,26.9259002770083,86640
52,68,32,0,0,0,0,0,0,0,0,0,4,5,0,0,57,0,0,43,0,0,0,0,0,4,5,4,5,500,5,35,1,16.875,15360,21.401055408971,56850
11,10,31,6,14,8,8,6,5,5,7,0,1,4,8,25,8,16,7,11,11,9,3,1,1,6,5,6,6,600,3,34,2,40.9244791666667,57600,37.0882426673352,59835
76,1,4,30,8,19,7,5,4,2,10,10,3,3,1,29,0,0,20,50,0,0,0,0,0,5,2,5,5,600,4,36,2,35.7271038454393,80745,23.6694356217933,61395
90,2,20,10,7,18,4,4,10,10,10,5,5,4,0,0,10,80,10,0,0,0,0,0,0,3,3,4,4,600,3,39,2,36.5702697604226,79515,7.14285714285707,52500
93,33,23,10,10,9,4,4,4,2,1,0,5,3,50,14,9,7,6,5,1,1,4,3,0,5,4,5,5,600,2,40,2,44.7781120722076,39885,49.3891213389121,35850
104,10,13,11,16,23,12,8,3,2,2,0,4,5,6,10,15,21,23,11,5,3,2,2,2,4,4,5,5,680,3,31,1,31.7237851662404,58650,30.9116075764935,61770
26,33,26,11,4,2,6,3,3,3,6,3,5,4,5,8,8,10,6,9,8,8,6,10,22,4,1,4,2,1000, ,53, ,51.4852752880922,46860,35.4034707158351,103725
259,79,21,0,0,0,0,0,0,0,0,0,4,5,45,51,0,4,0,0,0,0,0,0,0,3,4,3,4,1000,4,19,1,14.2629355860612,14205,21.7667984189723,18975
255,27,32,27,7,5,1,1,0,0,0,0,1,1,68,20,9,3,0,0,0,0,0,0,0,5,3,6,1,1100,5,27,1,32.3350331463539,29415,26.4480408858603,17610
176,20,25,10,10,5,5,5,5,5,5,5,3,3,40,40,10,10,0,0,0,0,0,0,0,6,2,5,2,1200,3,49,2,47.7078507078507,58275,29.5,22800
51,2,9,19,22,21,15,6,3,1,1,1,2,3,3,4,8,12,14,18,15,12,9,4,1,4,1,3,4,1400,5,64,2,26.7780493766805,61365,25.5443916697114,82110
92,22,20,20,20,4,3,3,2,2,2,2,3,1,30,10,11,11,5,5,4,4,0,20,0,4,3,4,5,1600,3,47,1,42.2618888144675,44790,46.8279301745636,60150
18,16,28,35,21,0,0,0,0,0,0,0,5,5,10,19,19,12,12,12,16,0,0,0,0,4,4,5,5,2000,9,34,2,25.4652455977757,32370,33.2714285714286,52500
122,0,13,29,40,18,0,0,0,0,0,0,5,5,5,21,36,22,0,0,16,0,0,0,0,3,4,3,4,3800,5,28,2,18.111821086262,46950,30.2039151712887,45975
206,6,12,19,16,10,10,10,8,4,3,2,2,2,6,37,30,12,5,2,3,3,2,0,0,5,1,6,4,4000,2,26,2,34.7098681218736,65970,33.1297257227576,40470
294,0,32,18,50,0,0,0,0,0,0,0,3,3,0,24,24,40,12,0,0,0,0,0,0,4,4,6,5,4000,7,34,2,19.4477611940298,40200,20.5379310344828,43500
123,1,2,8,18,22,22,15,9,2,1,0,9,9,15,24,23,19,6,3,3,2,2,2,1,1,3,2,5,4200,8,24,2,20.6921533212924,74745,38.6588628762542,44850
83,18,19,21,19,16,2,1,1,1,1,1,5,4,12,20,21,17,17,13,0,0,0,0,0,4,3,4,3,5000,5,30,1,36.20041393584,43485,30.8291054739653,44940
156,10,20,20,30,8,5,3,1,1,1,1,5,7,10,11,13,20,16,13,8,4,2,2,1,3,4,2,5,5000,5,36,2,33.0158982511924,47175,33.0323785803238,60225
220,2,10,22,41,20,5,0,0,0,0,0,3,3,0,0,40,50,10,0,0,0,0,0,0,4,1,5,1,5299.99,3,56,2,19.3998797354179,49890,12.3125,48000
185,3,12,14,13,8,16,8,8,9,4,5,3,3,0,0,5,11,19,20,29,11,3,1,1,3,2,6,3,5583,5,33,1,34.1440743609605,77460,17.7922192749779,84825
48,22,27,25,12,0,0,0,0,0,0,14,1,1,8,21,31,30,0,0,0,0,0,0,10,6,1,5,4,6000,5,57,1,51.5130586186883,51690,40.5964611872146,52560
75,9,3,12,18,16,10,8,8,7,5,4,1,1,6,7,10,12,8,4,9,4,7,11,22,1,2,1,6,6000,6,31,2,33.4945295404814,75405,36.7595757218621,101820
81,4,5,6,25,26,14,5,5,5,3,2,5,5,1,1,10,19,23,23,10,4,4,3,2,1,2,2,4,6000,7,44,2,27.1851539434838,71130,23.341021092056,76095
114,8,15,16,15,13,10,10,6,3,3,1,2,1,31,15,17,37,0,0,0,0,0,0,0,2,2,5,2,6000,3,59,2,35.1238164603059,61785,30.7838577291382,32895
243,10,15,25,20,10,5,5,5,2,2,1,1,1,40,25,20,15,0,0,0,0,0,0,0,5,1,6,6,7500,3,42,1,35.8293370944993,53175,32.406976744186,25800
15,25,19,10,8,7,6,5,5,5,5,5,5,7,1,60,30,9,0,0,0,0,0,0,0,2,3,2,4,9000,7,53,2,48.2097186700767,58650,18.5600608210846,29595
229,57,20,14,3,1,1,0,1,1,1,1,1,3,76,0,24,0,0,0,0,0,0,0,0,3,3,4,3,9000,3,27,2,42.9563679245283,25440,27.6688741721854,18120
258,14,19,21,23,9,4,4,3,1,1,1,3,2,34,39,27,0,0,0,0,0,0,0,0,5,2,5,3,9200,5,42,1,36.3511280584684,47205,25.1187989556136,22980
237,11,17,17,16,10,10,8,5,3,2,1,1,1,50,15,10,10,5,5,5,0,0,0,0,4,2,4,2,10000,2,30,1,37.1074249605055,56970,43.7073170731707,30750
268,25,18,14,11,11,8,6,3,2,1,1,3,3,71,16,8,5,0,0,0,0,0,0,0,3,3,4,4,10100,2,24,1,42.5015873015873,47250,27.7590870667794,17745
67,17,20,14,10,9,8,8,5,4,3,2,1,1,20,73,4,2,1,0,0,0,0,0,0,6,2,6,1,10500,2,55,1,42.4060090401489,56415,16.7006802721088,22050
124,32,12,11,10,8,7,6,5,4,3,2,3,3,51,19,12,10,8,0,0,0,0,0,0,5,2,5,2,12000,1,25,1,46.8269675925926,51840,37.5918966529654,25545
230,32,19,15,10,8,6,4,3,2,1,0,5,5,30,28,17,9,5,4,3,1,1,1,1,1,3,4,5,12000,7,64,2,43.7154471544715,40590,43.1237113402062,36375
238,28,23,20,6,5,5,4,4,2,2,1,1,1,29,26,12,0,22,11,0,0,0,0,0,2,2,2,3,12000,5,41,1,45.4029692470838,42435,39.0174811283274,37755
266,10,20,20,25,7,5,4,2,2,3,2,1,1,3,5,26,34,17,6,2,2,2,2,1,5,1,6,3,12000,2,43,1,37.5706051873199,52050,26.2302839116719,57060
4,8,52,11,8,7,5,4,2,1,1,1,5,5,30,58,12,0,0,0,0,0,0,0,0,1,3,1,6,15000,8,28,2,38.7836840162421,40635,19.9148936170213,21150
50,42,17,14,10,5,2,3,3,2,1,1,3,3,5,19,38,30,7,1,0,0,0,0,0,6,3,4,3,15000,3,50,2,47.2261368291684,36615,21.8423005565863,40425
99,17,31,22,8,4,5,5,3,3,1,1,1,1,40,43,15,1,1,0,0,0,0,0,0,4,2,6,5,15000,5,27,2,41.9869684499314,43740,25.8450704225352,21300
151,20,18,13,13,10,8,6,5,3,2,2,1,1,35,47,15,1,1,1,0,0,0,0,0,5,1,6,1,15000,1,30,2,42.4929971988796,53550,26.4448160535117,22425
68,2,10,30,13,12,10,9,8,3,2,1,3,5,16,24,22,10,3,5,10,0,0,10,0,2,5,3,4,16000,9,62,1,31.5941719971571,63315,42.8705120659211,50970
108,15,20,21,15,13,11,1,1,1,1,1,1,1,80,20,0,0,0,0,0,0,0,0,0,1,1,4,2,16000,5,29,1,36.491961414791,46650,13.9148936170212,14100
174,6,20,17,12,9,8,7,7,6,5,3,1,1,40,20,0,20,0,0,0,0,0,10,10,6,1,6,1,16000,2,47,1,38.8365581607102,65895,55.8655462184874,53550
295,61,20,0,0,0,0,0,0,10,5,4,1,1,75,0,0,0,0,0,0,0,0,10,15,6,1,6,1,17000,2,33,1,57.4549943030763,39495,61.3571428571429,52500
145,5,10,20,10,10,10,10,10,10,5,0,1,1,20,50,10,10,10,0,0,0,0,0,0,3,3,4,3,18000,6,41,1,32.9181532004197,71475,31.1836734693878,29400
165,7,22,30,12,10,5,3,3,3,3,2,3,3,5,69,0,5,10,10,0,0,0,0,1,3,3,4,4,18000,3,25,2,38.0231362467866,52515,33.7689075630252,35700
209,10,10,13,30,12,6,5,6,3,3,2,1,1,69,27,3,0,0,1,0,0,0,0,0,6,1,5,1,18000,2,64,2,34.8074074074074,60750,22.0395584176633,16305
221,13,14,20,19,11,9,4,4,3,2,1,5,5,5,20,20,13,13,14,0,0,0,5,10,1,4,2,5,18000,8,46,1,36.8895671476138,54060,41.3841807909605,66375
77,11,13,15,17,19,11,6,3,2,2,1,3,2,60,21,9,4,1,1,1,1,1,1,0,1,1,6,6,19000,5,52,1,34.1629125196438,57270,40.7848101265823,23700
131,30,50,20,0,0,0,0,0,0,0,0,1,1,50,20,10,10,10,0,0,0,0,0,0,6,1,6,1,19000,5,41,2,22.6040268456376,22350,38.2857142857143,26250
213,15,22,18,15,10,5,4,3,2,1,5,1,1,31,41,5,5,5,5,4,1,1,1,1,6,1,6,1,19000,2,41,2,43.169014084507,53250,44.6551126516464,34620
37,20,17,22,13,10,7,5,2,2,1,1,5,4,31,25,21,11,11,1,0,0,0,0,0,5,1,5,2,20000,3,30,2,39.8608,46875,35.0643302928468,31245
128,5,17,18,20,14,12,6,4,3,1,0,3,3,4,10,25,21,17,11,6,2,1,2,1,4,2,4,4,20000,6,25,1,31.6569536423841,56625,29.6492092299715,57855
134,5,10,20,22,23,8,5,3,2,1,1,3,3,17,37,45,0,0,0,0,0,0,0,1,2,3,3,4,20000,5,30,2,29.2345360824742,58200,25.1819116135663,29190
161,13,26,14,12,8,7,6,5,4,3,2,4,3,48,52,0,0,0,0,0,0,0,0,0,4,2,4,4,20000,3,28,2,42.1522273845313,54885,17.0103092783505,17460
225,8,15,24,25,8,6,5,3,3,1,2,1,1,0,31,45,19,0,0,0,0,5,0,0,5,2,5,1,20000,2,29,1,35.0857775318207,54210,25.6492537313433,40200
247,2,4,4,4,8,12,13,15,15,12,11,3,3,9,16,16,17,0,3,0,13,12,6,8,2,2,4,4,20000,4,28,1,25.5067822682142,107265,41.7898365176285,76155
300,10,15,5,16,3,9,10,5,4,3,20,3,2,0,0,70,26,0,0,0,0,0,0,4,5,2,5,2,20000,2,55,2,42.1056218057922,88050,20.0754716981132,47700
1,10,19,26,20,9,6,3,3,2,1,1,2,2,4,31,36,17,7,3,1,0,0,0,1,4,3,4,4,21000,2,37,1,35.2633996937213,48975,28.1466066741657,40005
19,10,13,18,13,12,8,7,5,5,5,4,2,3,8,18,40,19,15,0,0,0,0,0,0,5,2,5,4,21000,3,28,1,39.1383219954648,66150,24.2819745699327,40110
23,12,12,13,18,13,7,7,6,5,4,3,7,7,24,61,7,5,1,1,0,1,0,0,0,1,4,4,5,21000,8,32,1,38.3210881190421,64515,26.3431372549019,24480
41,5,37,11,11,7,9,5,4,4,4,3,1,3,1,28,16,29,0,17,0,0,0,0,9,4,3,4,3,21000, ,53,2,41.8578947368421,57000,38.9650455927052,59220
72,2,9,14,19,21,13,8,5,4,3,2,3,3,0,40,20,0,40,0,0,0,0,0,0,6,1,5,2,21000,2,28,1,29.4211897524967,69090,26.8275862068966,43500
115,19,17,7,8,7,7,7,10,10,5,3,4,3,17,49,24,0,7,0,0,0,3,0,0,5,3,6,3,21000,5,27,1,42.8049977688532,67230,32.3561979421852,30615
87,18,20,30,11,4,5,3,3,3,2,1,4,6,39,30,23,5,3,0,0,0,0,0,0,6,2,4,3,22000,3,29,2,40.6652360515022,45435,31.3339404978749,24705
222,16,24,28,13,6,3,2,2,2,2,2,3,3,0,0,16,22,26,5,19,8,4,0,0,3,2,5,5,22000,3,61,2,40.4714573539288,44670,22.0062630480167,71850
154,30,19,10,9,8,7,6,4,3,2,2,1,1,10,30,40,0,0,0,0,0,0,10,10,3,1,4,3,23000,4,56,2,46.8885448916409,48450,47.978835978836,56700
24,51,30,9,2,2,1,1,1,1,1,1,1,1,20,60,20,0,0,0,0,0,0,0,0,6,1,6,1,24000,5,25,2,43.0800915331808,26220,19.4358974358974,23400
57,0,50,10,10,10,5,5,3,3,2,2,4,4,50,30,0,17,0,0,3,0,0,0,0,2,5,2,4,24000,5,25,1,39.5255255255255,49950,37.5060975609756,24600
97,20,22,30,5,5,5,2,3,3,3,2,1,1,20,30,30,20,0,0,0,0,0,0,0,6,1,6,1,24000,4,42,2,43.7785016286645,46050,27.3398058252427,30900
169,22,17,11,19,16,6,3,2,2,1,1,2,2,40,57,0,3,0,0,0,0,0,0,0,4,1,5,2,24000,5,25,1,39.3416640303701,47415,19.671875,19200
245,20,14,11,10,10,7,6,6,5,6,5,3,4,18,19,17,14,9,7,5,4,3,2,2,4,3,3,3,24000,5,25,1,44.4252607184241,64725,41.9515011547344,51960
53,5,8,12,15,12,10,9,9,8,7,5,1,1,2,3,8,11,15,11,10,10,10,10,10,6,1,6,1,25000,3,44,2,33.8348968105066,79950,29.5384375972611,96390
61,10,27,16,20,11,4,1,2,2,6,1,1,1,12,33,7,11,11,1,5,5,7,4,4,6,5,6,2,25000,1,44,2,39.2776957163959,50775,45.1088295687885,58440
71,20,40,25,15,0,0,0,0,0,0,0,3,3,20,0,80,0,0,0,0,0,0,0,0,2,1,2,5,25000,9,52,2,27.1047120418848,28650,14.5925925925926,32400
110,17,23,17,10,7,6,5,4,4,2,5,2,3,5,50,30,15,0,0,0,0,0,0,0,4,2,5,4,25000,4,25,1,45.5542363734484,55590,21.7699757869249,30975
117,15,24,17,14,13,5,3,2,2,2,3,5,5,5,23,34,28,4,6,0,0,0,0,0,3,3,3,4,25000,5,24,2,41.6,50250,24.6366972477064,40875
132,10,26,14,11,13,13,3,2,2,3,3,1,1,30,30,22,0,14,0,0,0,0,4,0,6,2,5,2,25000,3,54,2,40.1231393775372,55425,40.8533333333333,33750
190,31,17,11,8,7,6,6,5,4,3,2,3,3,9,17,74,0,0,0,0,0,0,0,0,4,1,6,4,25000,2,31,1,47.7241276468834,50295,13.4712907671107,32655
207,10,30,30,10,7,6,3,1,1,1,1,1,1,50,50,0,0,0,0,0,0,0,0,0,3,1,5,3,25000,3,23,1,36.0788091068301,42825,17.2173913043478,17250
251,10,30,40,10,6,2,1,0,0,0,1,4,7,39,0,22,0,0,39,0,0,0,0,0,5,1,4,2,25000,3,32,2,29.5091649694501,36825,39.1842367808447,45105
269,30,9,12,23,4,2,3,2,2,3,10,1,1,40,40,20,0,0,0,0,0,0,0,0,6,1,4,2,25000,3,25,1,49.9457364341085,58050,25.0985915492958,21300
276,10,26,64,0,0,0,0,0,0,0,0,7,7,30,10,60,0,0,0,0,0,0,0,0,5,2,5,2,25000,5,34,2,16.1739130434783,31050,22.4761904761905,28350
282,20,7,8,9,10,8,6,5,4,3,20,4,5,10,50,20,0,10,0,0,0,0,0,10,2,2,2,5,25000,5,35,1,44.7349823321555,84900,47.0649350649351,46200
304,21,19,17,15,12,6,3,2,2,2,1,1,2,34,62,4,0,0,0,0,0,0,0,0,4,3,5,2,25000,7,23,1,40.7252252252252,46620,17.0138248847926,19530
74,12,35,24,11,6,3,3,3,1,1,1,1,1,24,49,21,2,2,1,1,0,0,0,0,3,1,6,1,26000,5,26,2,38.2241068206424,41565,27.9284064665127,25980
103,15,21,30,15,7,4,3,2,1,1,1,1,1,30,39,27,2,1,1,0,0,0,0,0,4,3,5,3,26000,4,36,1,36.7586206896552,43500,27.6766467065868,25050
129,12,22,20,17,12,6,4,2,2,2,1,2,3,0,0,0,0,35,25,17,12,5,3,3,4,3,4,4,26000,4,26,1,37.4898207231844,49365,16.8761354252683,90825
21,20,19,10,8,8,7,6,6,6,5,5,3,3,0,40,50,0,0,10,0,0,0,0,0,5,1,5,3,28000,3,50,1,45.7723480333731,62925,23.25,36000
179,7,16,28,41,2,2,0,1,1,1,1,3,3,13,24,45,11,1,1,1,1,1,1,1,4,1,5,1,28000,2,49,1,27.289124668435,45240,31.7393026941363,37860
186,4,5,11,20,16,12,10,8,5,4,5,4,4,8,16,20,29,24,3,0,0,0,0,0,4,3,4,4,28000,2,27,1,31.280627056319,77505,25.0587467362924,45960
298,23,19,22,9,10,9,2,2,1,2,1,1,1,22,59,6,5,2,0,0,0,0,0,6,4,2,6,4,28000,4,30,1,41.417004048583,44460,43.6719858156028,33840
305,12,17,22,18,14,6,4,3,2,1,1,4,4,9,14,21,29,15,9,3,0,0,0,0,1,3,2,5,29000,5,49,1,35.8288341738356,50565,27.4982742390963,47805
31,6,4,4,3,3,2,2,1,1,35,39,1,1,2,1,84,2,2,2,2,1,1,1,2,4,2,5,2,30000,1,51,2,24.9095531753759,138645,21.1864740643467,45690
32,6,10,10,18,19,11,10,5,3,4,4,7,4,0,21,13,22,10,15,9,3,2,1,4,1,3,1,6,30000,7,26,1,33.3370072064434,70770,33.588785046729,64200
44,1,3,9,13,23,16,7,13,9,6,0,5,5,0,0,0,40,33,27,0,0,0,0,0,2,2,2,5,30000,1,30,2,24.4225013855533,81195,12.0022883295194,65550
