PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
272,11,27,19,14,12,6,4,2,2,2,1,7,7,1,2,9,34,34,15,4,1,0,0,0,2,3,4,6,60000,5,25,1,38.2602230483271,48420,16.6615978759353,62145
40,6,18,19,13,13,11,9,4,3,3,1,3,3,9,13,20,21,15,9,4,3,3,2,1,4,2,4,3,61000,3,38,1,35.1412471825695,59895,33.9501607717042,55980
216,6,23,23,15,10,8,5,4,3,2,1,2,1,5,15,30,20,11,8,5,3,2,1,0,4,1,6,3,62000,1,57,1,36.3519397153224,53745,30.8730158730159,51975
250,5,11,29,16,12,11,6,4,3,2,1,5,5,0,5,42,42,11,0,0,0,0,0,0,5,5,4,5,62000,4,24,1,32.6333333333333,58500,14.7669902912621,46350
17,14,16,15,20,7,6,7,4,4,4,3,4,3,5,15,20,30,4,6,5,15,0,0,0,3,3,3,4,63000,6,67,1,40.9847599695199,59055,31.7523178807947,56625
155,8,14,24,21,14,9,4,3,1,1,1,5,4,0,0,11,30,42,17,0,0,0,0,0,2,2,3,3,63000,3,29,2,32.4978747520544,52935,13.5879518072289,62250
226,47,53,0,0,0,0,0,0,0,0,0,5,5,0,61,0,0,0,0,39,0,0,0,0,4,4,4,4,63000,9,29,1,16.8906917164817,17565,36.4782608695652,51750
235,20,15,13,13,9,8,7,6,5,3,1,5,5,1,4,23,69,1,1,1,0,0,0,0,3,2,3,4,65000,7,33,1,41.7083888149134,56325,11.7620229599752,48345
252,10,16,29,9,8,8,4,4,4,4,4,8,8,7,19,7,12,25,1,0,0,29,0,0,1,2,1,5,65000,1,64,2,40.9621212121212,59400,35.4920323073565,68715
267,0,0,0,37,43,11,3,2,2,1,1,4,4,0,0,0,11,52,31,6,0,0,0,0,3,3,4,4,65000,6,35,2,15.64043715847,68625,10.0373443983403,72300
273,10,20,6,20,10,7,6,5,6,5,5,2,5,0,30,40,0,30,0,0,0,0,0,0,3,2,4,4,65000,7,68,1,40.6976483762598,66975,24.5,42000
228,5,10,18,24,20,11,4,3,2,2,1,5,5,4,8,20,24,21,16,3,1,1,1,1,3,2,4,5,68000,5,43,1,29.6388888888889,59400,26.6453682319733,58455
34,10,10,10,5,10,15,15,10,5,5,5,4,4,10,10,15,20,10,10,5,5,5,5,5,4,1,4,2,70000,7,40,2,35.030739673391,78075,38.3721185510428,68325
79,2,3,6,7,8,10,10,12,12,13,17,5,5,0,0,0,50,0,0,47,0,0,0,3,4,2,4,3,70000,7,59,1,28.0854897710337,110715,20.0779595765159,77925
166,5,10,20,20,14,9,5,5,4,4,4,4,4,0,6,8,6,19,42,10,6,3,0,0,4,2,5,5,70000,3,25,1,35.1301907968574,66825,18.7250996015936,75300
180,5,10,14,19,19,12,5,4,4,4,4,7,7,0,0,5,21,21,50,3,0,0,0,0,2,3,1,6,70000,7,26,2,33.6521264994547,68775,12.9073684210527,71250
27,11,13,16,27,5,5,5,5,5,5,3,1,1,3,2,3,5,11,8,9,8,6,25,20,6,1,6,1,71000,2,54,2,39.0781932977173,61770,26.7043874067518,118635
218,5,5,10,50,5,5,8,4,4,3,1,5,5,0,0,0,38,29,21,12,0,0,0,0,4,4,4,4,71000,3,28,1,28.0859188544153,62850,14.3041575492341,68550
271,5,12,17,29,15,9,4,3,3,2,1,1,1,0,14,23,31,24,8,0,0,0,0,0,5,1,6,5,72000,1,27,2,30.7557840616967,58350,21.0176991150443,50850
3,9,23,29,19,10,3,2,2,1,1,1,3,3,0,1,14,46,27,4,2,2,2,1,1,1,2,2,5,73000,7,31,2,33.832005312085,45180,19.2227662178702,61275
297,10,10,13,13,14,13,10,6,5,4,2,7,7,3,10,15,15,15,15,9,6,5,4,3,2,2,3,6,73000, ,32,1,35.0442477876106,67800,31.996253122398,72060
42,11,32,39,5,0,7,0,3,1,0,2,5,5,0,21,24,5,50,0,0,0,0,0,0,1,6,1,6,74000,5,44,1,36.3258511036289,40095,21.8622754491018,50100
45,15,15,16,14,10,7,6,4,4,4,5,5,7,0,2,60,10,10,14,1,0,1,1,1,1,3,1,6,74000,9,45,1,42.6077481840194,61950,23.7338129496403,52125
262,14,12,13,15,12,10,6,5,4,4,5,3,4,4,10,33,35,16,2,0,0,0,0,0,5,3,4,3,74000,4,26,1,40.4389741241127,65505,20.4056172436316,45930
16,10,25,26,18,9,4,3,2,2,1,0,1,1,0,0,0,50,50,0,0,0,0,0,0,5,2,6,5,75000,1,25,1,34.3232323232323,44550,8.25,60000
116,5,11,23,18,13,10,7,5,4,3,1,1,1,3,10,21,39,20,5,2,0,0,0,0,4,2,6,3,75000,2,66,1,33.002421307506,61950,20.9869397447314,50535
139,7,10,16,20,16,10,7,5,4,2,3,8,8,2,4,15,18,23,25,7,3,1,1,1,1,3,2,6,75000,8,51,1,34.0924641701341,64890,23.4766793126534,67215
142,6,10,36,20,8,6,6,4,2,1,1,3,3,15,17,22,0,21,22,0,0,0,0,3,5,2,5,2,75000,2,31,2,31.9952420934789,53595,36.8530259365994,52050
162,6,9,15,19,17,9,9,6,5,3,2,2,2,10,14,21,23,18,13,1,0,0,0,0,3,3,4,3,75000,2,32,1,32.7326203208556,67320,28.1931464174455,48150
199,21,16,16,15,11,8,5,3,2,2,1,5,4,17,23,40,12,6,1,1,0,0,0,0,5,2,6,3,75000,5,28,1,40.6874244256348,49620,28.2710606721956,34365
241,39,31,12,1,0,17,0,0,0,0,0,3,6,28,38,32,0,0,2,0,0,0,0,0,4,5,4,5,75000,4,20,1,41.390815828041,30705,26.9014084507042,25560
6,11,13,16,17,14,8,6,5,4,3,3,3,2,4,9,18,21,19,12,7,8,0,2,0,4,2,6,2,76000,2,29,1,37.9394379844961,61920,28.2568093385214,61680
106,10,15,18,14,11,10,7,6,5,3,1,4,3,0,2,88,8,2,0,0,0,0,0,0,4,2,5,2,76000,3,31,1,37.002478314746,60525,6.96923076923076,39000
278,1,3,10,14,19,22,11,9,6,4,1,5,5,1,1,2,7,61,20,5,0,0,0,3,2,2,2,6,77000,8,36,1,24.2167805618831,79020,14.8573185731858,73170
59,19,11,6,13,7,7,6,9,8,8,6,8,7,11,15,23,24,18,7,0,0,1,0,1,1,2,1,6,78000,3,52,2,42.3674342775627,73605,30.4633524537922,47070
274,6,14,17,21,16,7,3,4,5,5,2,3,3,0,0,0,0,0,21,29,24,19,6,1,3,1,5,2,78000,4,35,2,35.4174246050742,62670,11.8958770090845,107325
291,10,14,31,20,13,3,2,2,2,1,2,3,3,0,15,21,41,15,8,0,0,0,0,0,5,4,4,5,78000,7, ,1,34.4759036144578,49800,20.4424242424243,49500
69,3,19,39,10,23,4,0,0,0,0,2,3,3,0,12,30,37,8,3,10,0,0,0,0,5,4,2,4,80000,7,37,2,28.6487773896475,47235,23.1235294117647,51000
160,6,11,18,20,13,7,5,5,5,6,4,9,8,0,4,10,15,28,30,5,7,0,0,1,2,5,3,5,80000,5,30,1,36.5773966578716,68220,20.0095238095238,70875
181,5,11,18,23,17,11,6,4,2,2,1,7,6,30,50,20,0,0,0,0,0,0,0,0,3,2,4,5,80000,9,32,1,30.6832917705736,60150,22.6040268456376,22350
205,1,13,27,32,21,1,1,1,1,0,2,2,2,0,0,50,30,20,0,0,0,0,0,0,2,1,5,3,80000,4,29,2,25.7131782945736,52245,14.8125,48000
211,20,30,15,6,4,3,4,2,2,4,10,1,1,41,36,0,0,0,23,0,0,0,0,0,4,1,5,3,80000,2,26,1,51.2605263157895,57000,43.1500234411627,31995
70,27,20,13,9,8,5,4,3,2,3,6,6,6,30,20,0,0,19,11,0,20,0,0,0,2,3,3,5,81000,8,37,1,49.3731130731985,52665,42.8828571428571,52500
210,2,14,23,19,15,8,7,5,4,2,1,7,7,1,2,12,12,12,13,13,12,10,8,5,4,3,3,4,82000,7,42,1,31.8469663473348,61065,27.4582917912928,90270
36,25,18,6,6,6,5,6,6,6,6,10,3,5,30,13,0,17,0,0,0,0,20,0,20,1,2,1,6,85000,6,53,2,48.9782372143635,68925,49.9774859287054,79950
73,3,9,11,36,10,7,5,8,2,7,2,8,8,5,10,10,10,30,10,5,5,10,5,0,3,3,2,4,85000,7,51,2,31.5355023081996,68235,30.117709437964,70725
147,0,4,7,9,18,20,16,10,7,5,4,9,9,0,0,0,0,16,22,31,21,10,0,0,1,5,1,6,85000,8,36,2,24.5787671232877,87600,12.5792778649921,95550
152,3,9,16,19,15,13,8,6,5,4,2,7,6,0,0,7,28,51,3,2,2,2,1,4,1,4,3,5,85000,8,28,2,31.3346956334696,69735,19.9444444444445,70200
153,9,16,16,6,2,10,14,5,2,8,12,3,2,4,16,46,22,2,2,1,1,1,0,5,4,2,5,5,85000,3,26,1,41.8338017612891,80055,33.0906029996939,49005
260,10,10,10,37,3,3,3,3,5,5,11,5,5,11,5,11,17,11,45,0,0,0,0,0,1,3,1,6,85000,7,40,1,41.099481865285,72375,24.3315013739695,60045
121,3,4,8,11,17,19,9,8,7,8,6,3,3,1,1,26,31,22,6,5,7,0,0,1,5,2,6,5,86000,2,37,1,29.1714088635972,86985,23.3178905864958,60870
168,6,9,26,20,15,12,5,3,2,1,1,4,4,2,8,22,32,16,10,5,3,2,0,0,3,3,4,5,88100,6,28,2,30.6527668502492,57195,24.8877766069547,56940
112,10,10,25,28,17,4,2,1,1,1,1,7,7,4,8,11,28,24,16,2,2,2,2,1,1,2,2,6,89000,9,33,1,30.0584707646177,50025,26.2985255015712,62055
12,20,30,15,10,7,6,5,3,2,1,1,6,7,26,31,16,9,7,4,3,2,1,1,0,2,5,3,4,90000,7,35,1,42.6136752136752,43875,41.0269607843137,36720
38,30,22,14,7,6,2,5,3,2,2,7,3,3,16,42,6,30,6,0,0,0,0,0,0,4,3,5,2,90000,5,36,1,51.5081723625557,50475,30.0287253141831,33420
47,20,0,0,40,0,0,35,0,0,0,5,6,5,0,10,0,0,0,0,90,0,0,0,0,4,4,4,5,90000,4,30,2,34.5696767001115,67275,9.5,90000
85,9,14,24,14,10,6,5,5,5,5,3,3,3,1,1,7,11,43,23,5,2,3,2,2,3,3,4,4,90000,3,27,1,39.1941091260261,62130,19.6492041104171,74445
159,2,31,10,40,0,0,0,0,3,7,7,4,5,3,0,0,42,55,0,0,0,0,0,0,1,3,2,5,90000,6,56,2,40.7192628124211,59415,10.2154195011338,59535
183,17,14,13,10,8,8,8,6,6,7,3,2,2,0,0,2,1,26,26,23,20,2,0,0,5,2,5,2,90000,7,40,2,42.1955922865014,65340,13.851282051282,87750
289,12,20,13,33,15,7,0,0,0,0,0,3,3,1,4,19,16,19,19,15,7,0,0,0,3,2,5,2,90000,4,43,2,28.4209809264305,44040,23.2176326893182,67545
301,14,13,13,10,9,10,9,7,7,5,3,5,5,7,16,15,13,12,12,11,5,4,3,2,3,2,4,4,90000,5,27,2,39.7574883514533,67605,35.6472913275982,64515
46,11,12,13,13,13,8,7,7,6,6,4,3,3,2,3,10,30,31,17,2,2,1,1,1,4,4,4,5,98000,7,69,1,38.6952503761014,69795,21.027563653352,64215
201,12,11,15,13,20,13,5,4,2,3,2,1,1,2,2,3,5,12,13,17,27,10,6,3,1,2,1,6,100000,8,45,2,35.5126050420168,60690,20.8625789554768,97365
203,11,36,15,12,7,6,4,4,2,1,2,1,2,0,11,68,0,0,0,0,0,0,21,0,4,1,5,3,100000,2,29,2,41.3190612115446,47295,34.6217616580311,57900
208,17,18,21,21,5,4,2,2,4,2,4,3,3,0,18,27,24,17,5,4,2,1,1,1,5,2,4,4,100000,3,24,2,42.8070328392909,51615,28.5768688293371,53175
242,4,8,13,16,15,12,12,10,5,3,2,4,3,10,10,21,21,19,11,8,0,0,0,0,4,2,5,4,100000,4,20,1,30.5710180623974,73080,28.7435158501441,52050
299,5,15,24,11,10,5,5,5,5,5,10,5,5,0,10,10,14,10,13,11,8,5,5,14,2,3,3,4,100000,8,30,1,41.2748717948718,73125,33.8752052545156,91350
127,3,9,12,14,16,15,12,8,4,4,3,3,7,0,0,0,0,0,28,18,17,22,13,2,4,2,4,5,104000,2,37,2,30.5918940609952,74760,13.9619047619048,110250
191,12,24,39,12,5,3,1,1,1,1,1,3,3,0,0,0,0,0,50,50,0,0,0,0,3,2,2,4,109000,7,42,2,33.5039018952063,40365,6.16666666666666,90000
126,1,3,38,23,6,2,10,6,6,4,1,5,5,11,25,41,15,6,0,0,0,1,1,0,4,3,5,4,110000,3,36,2,30.797121634169,64620,27.9005278116119,36945
164,16,21,31,11,5,3,3,2,2,1,5,5,5,47,0,19,0,3,29,0,0,0,1,1,1,3,3,6,110000,4,52,2,43.3289271441746,48795,44.7377049180328,42090
172,10,10,15,17,25,13,6,1,1,1,1,2,2,0,1,2,5,21,21,21,23,2,2,2,5,2,5,4,110000,2,27,1,30.5439056356488,57225,17.500826446281,90750
270,10,0,51,14,0,0,0,10,10,0,5,9,8,0,5,30,35,10,10,5,5,0,0,0,2,3,2,4,110000,7,47,1,38.1941391941392,61425,22.8666666666667,56250
236,10,10,25,22,10,9,6,3,2,2,1,3,2,10,20,20,20,10,9,6,0,0,0,5,4,2,4,2,115000,4,32,2,33.9442176870748,55125,38.4558204768583,53475
264,10,13,13,33,8,7,7,7,1,1,0,7,5,7,27,25,18,9,4,3,3,3,1,0,2,2,3,4,120000,3,34,2,32.2540983606557,54900,34.5544840887174,46665
286,19,0,25,0,34,22,0,0,0,0,0,3,3,0,0,0,10,39,22,29,0,0,0,0,4,3,4,3,120000,6,56,2,28.330110889963,52755,12.4961538461538,78000
95,2,4,16,14,16,17,11,9,6,2,3,6,7,0,20,39,0,22,0,0,0,19,0,0,1,2,1,6,125000,8,59,1,28.3256224269751,76515,34.4587628865979,58200
14,11,11,13,21,11,12,5,4,5,4,3,8,7,0,9,11,13,21,20,9,5,6,2,4,1,6,1,6,129000,9,31,1,37.1674440298508,64320,28.3516699410609,76350
261,5,10,18,20,22,6,6,3,3,3,4,4,5,0,0,20,50,0,0,0,0,30,0,0,3,2,4,5,129000,5,28,1,33.717416378316,65025,27.2083333333333,72000
22,21,26,19,13,8,4,3,2,2,1,1,2,3,36,14,0,23,19,8,0,0,0,0,0,4,3,5,3,130000,5,45,1,41.1588319088319,42120,37.8729792147806,38970
91,2,5,12,21,16,13,10,7,5,4,5,3,3,1,3,10,20,30,18,8,5,2,2,1,6,1,6,5,130000,2,53,1,30.2695049123483,77865,22.5029610829103,70920
158,12,15,17,15,10,7,6,5,6,5,2,2,2,24,0,11,24,19,0,3,9,4,0,6,5,2,6,1,130000,3,59,2,39.6584062196307,61740,41.0264932562621,62280
254,0,50,37,0,0,9,0,0,2,1,1,4,4,25,0,50,0,20,0,0,0,0,0,5,3,4,3,3,130000,7,28,2,31.5808966861598,38475,38.5833333333333,45000
283,2,6,14,24,23,14,7,5,2,2,1,4,3,17,13,10,9,9,12,10,10,4,3,3,4,2,4,5,140000,3,25,1,26.0572268717485,66315,39.9460694698355,65640
105,5,10,50,10,5,5,5,4,3,2,1,8,8,0,0,0,0,0,40,20,20,10,10,0,1,4,2,5,150000,9,36,2,32.756446991404,52350,12.7352941176471,102000
279,7,12,14,16,13,10,8,6,5,5,4,4,6,19,20,0,26,30,0,0,0,0,3,2,3,4,4,4,150000,2,21,2,36.3474630700064,70065,36.2993552348787,48855
58,3,5,8,9,9,10,12,11,11,11,11,4,5,0,10,11,13,16,17,16,9,4,2,2,2,4,3,5,159850,5,43,1,30.3781895504253,98760,27.2599206349206,75600
7,20,15,15,11,9,7,7,4,4,4,4,3,3,0,0,0,0,49,0,30,0,0,21,0,5,2,5,5,160000,2,53,2,44.3027989821883,58950,18.219512195122,92250
194,5,6,8,10,11,13,14,14,8,8,3,5,4,13,18,22,17,27,3,0,0,0,0,0,1,3,3,5,164000,9,39,2,29.3732394366197,85200,28.94963780614,43485
173,1,4,7,7,10,15,24,20,6,6,0,5,3,3,6,3,7,12,25,13,15,9,7,0,5,2,4,3,175000,3,26,2,21.4109774690835,88545,23.4901722038615,86235
141,1,8,20,20,15,10,7,6,5,5,3,3,3,0,0,20,20,10,10,10,0,0,0,30,4,2,5,4,180000,3,35,2,31.6941870261163,71220,35.4074074074074,101250
149,37,30,14,4,4,3,2,2,2,1,1,1,1,80,8,2,2,2,1,1,1,1,1,1,6,1,6,1,180000,9,55,1,45.7154255319149,33840,43.1423728813559,22125
137,9,10,11,15,12,10,6,6,6,5,10,5,5,0,0,2,5,7,9,10,15,19,17,16,1,3,2,6,185000,7,55,1,39.0523200305518,78555,21.0197044334975,121800
290,7,7,9,10,17,13,12,9,7,5,4,8,8,0,1,2,4,6,9,11,14,14,16,23,1,4,1,6,190000,7,46,1,32.1362858772097,78915,22.3526970954357,126525
54,3,17,14,12,13,13,11,5,6,3,3,1,1,8,20,22,24,0,0,26,0,0,0,0,6,3,6,3,200000,5,27,2,34.4744809688581,69360,33.3681765389082,51660
214,7,10,12,18,20,10,9,7,4,2,1,3,3,1,3,5,9,19,20,19,11,6,5,2,3,4,4,4,200000,5,32,1,31.5941230486685,65340,22.5498001042934,86295
239,7,9,16,25,15,12,6,4,3,2,1,3,3,0,0,0,0,0,0,0,17,39,44,0,3,3,5,6,200000,5,60,1,31.2380718150516,60990,6.41847206385405,131550
212,5,10,15,20,15,10,8,4,4,2,7,5,5,0,0,0,0,0,10,10,10,10,20,40,1,5,2,1,240000,8,23,1,35.6778947368421,71250,17.5555555555555,148500
195,5,6,13,5,14,12,10,14,10,10,1,4,5,0,0,0,0,0,18,19,25,20,17,1,2,2,4,5,275000,4,25,1,29.7117117117117,83250,12.583830351226,113175
101,7,13,19,23,14,11,4,3,3,2,1,3,3,0,2,2,4,4,6,11,11,10,10,40,2,3,4,4,350000,4,43,1,32.7532671197073,57390,22.7195253505933,139050
62,26,22,17,12,9,6,2,2,2,1,1,2,1,0,0,0,0,0,60,20,20,0,0,0,4,3,6,2, ,5,66,1,42.5273899033297,41895,8.55737704918035,91500
227,66,20,14,0,0,0,0,0,0,0,0,5,5,19,52,29,0,0,0,0,0,0,0,0,3,3,3,3, ,5,26,2,25.5551782682513,17670,20.92757996379,24855
253,6,32,16,16,10,9,4,3,2,1,1,3,3,10,10,10,10,50,0,0,0,0,0,10,4,3,4,3, ,3,33,1,36.6854814367643,49695,34.8310502283105,65700
