id,conspiracy,delusions,paranoia,uniqueness,control
1,2.933333333,2.761904762,2.95,2.875,3.2
2,3.666666667,2.80952381,3.2,2.90625,3.6
3,1.333333333,1.428571429,1.6,3.5,3.85
4,2.933333333,3.285714286,3.85,2.90625,3.1
5,3.133333333,2.476190476,2.75,2.90625,3.4
6,1.533333333,2.619047619,3.1,3.3125,3.1
7,3.666666667,3.047619048,3,3.03125,4
8,3.266666667,2.523809524,2,3,3.05
9,1,1.952380952,2.9,2.59375,3.1
10,2.066666667,2.142857143,2.7,3,3.75
11,1.933333333,2.80952381,3,1.9375,2.6
12,3.333333333,2.523809524,3,3.34375,3.65
13,3.466666667,3.428571429,3.6,3.75,3.3
14,1.466666667,1.333333333,1.65,3.03125,3.8
15,3,3.238095238,2.8,3.40625,3.35
16,1.333333333,2.666666667,2.75,3.40625,3.85
17,3.6,3.142857143,2.75,3.21875,3.3
18,3.6,2.761904762,2.9,3.3125,4.15
19,1.733333333,2.095238095,2.4,3.71875,4
20,1.533333333,2.285714286,2.15,3.03125,3.9
21,2.133333333,2.19047619,2.5,2.8125,3.25
22,2.533333333,2.285714286,2.5,3.4375,3.85
23,1.6,2.714285714,2.85,3.40625,3.4
24,4.8,3.095238095,3.65,3.3125,3.8
25,2.933333333,2.380952381,2.9,2.59375,3
26,3,2.285714286,3,3.21875,3.3
27,5,2.571428571,3.55,3.4375,3.85
28,2.4,2.714285714,2.55,2.59375,3.45
29,2.066666667,2.380952381,2.7,3.0625,3.4
30,2.533333333,3.047619048,3.3,2.90625,3.7
31,2.266666667,2.238095238,2.45,2.75,3.3
32,2.666666667,2.380952381,2.6,3.40625,3.45
33,3,2.285714286,3,3.15625,3.75
34,3.4,2.904761905,2.6,2.46875,3.3
35,2.133333333,2.142857143,3.25,3.09375,3.95
36,2.8,3.476190476,3.55,3.53125,4.1
37,1.2,1.952380952,1.95,2.46875,3
38,3.4,3.095238095,2.85,2.9375,3.5
39,1.8,2.952380952,2.8,3.1875,3.2
40,2.2,1.857142857,2.35,2.53125,3.2
41,2.666666667,2.428571429,3.15,2.875,3.55
42,3.133333333,3.142857143,3.1,2.59375,3.4
43,3.2,1.904761905,1.7,3.9375,3.6
44,2.733333333,3.238095238,3.1,2.9375,3
45,2.2,2.666666667,2.75,2.53125,3.5
46,3.266666667,2.619047619,2.85,3.25,3.45
47,2.666666667,3.047619048,2.7,2.40625,2.55
48,3,2.095238095,1.7,2.4375,3.35
49,2.8,3.523809524,2.6,3.03125,3.45
50,3,2.571428571,2.9,2.6875,3.35
51,3,3.714285714,3.6,3.0625,3.65
52,2.866666667,2.428571429,2.95,2.71875,3.4
53,3.133333333,3.238095238,2.7,3.21875,3.2
54,2.933333333,2.904761905,3.65,2.96875,3.55
55,2.533333333,2.952380952,3.6,2.71875,3.05
56,2.2,1.80952381,2,3.125,3.6
57,2.866666667,2.80952381,3.25,2.96875,3.4
58,1.466666667,2,1.4,3.03125,3.1
59,3.266666667,3.857142857,3.8,3.28125,3.9
60,2.6,2,2.1,2.9375,3.2
61,1.933333333,3.428571429,3.5,2.40625,2.85
62,2.266666667,1.952380952,2.2,3.15625,3.35
63,3.266666667,2.285714286,2.75,2.90625,3
64,2.6,2.523809524,2.55,2.71875,2.85
65,3.266666667,2.333333333,2.9,3.15625,3.35
66,3.266666667,3.095238095,2.75,3.03125,3.45
67,2.333333333,3.142857143,3.25,2.78125,3.3
68,3.533333333,3.095238095,3.15,2.53125,3.1
69,2.733333333,3.380952381,3.5,3.09375,3.65
70,3.4,2.095238095,2.5,2.84375,3.35
71,3.533333333,3.428571429,3.1,2.71875,3.35
72,3,3.285714286,3.4,2.90625,3.4
73,3.266666667,3.047619048,2.9,2.375,3.05
74,4.266666667,3.095238095,3.55,2.78125,3.5
75,1.866666667,2.047619048,2,2.71875,3.5
76,3.6,3,2.9,3.15625,3.35
77,3.533333333,3.047619048,3.15,3.09375,3.15
78,2.6,2.142857143,2.7,3.09375,3.15
79,3.333333333,2.904761905,2.95,2.78125,3.25
80,3.6,2.238095238,3.55,2.6875,3.55
81,1,2.714285714,1.05,3.15625,3.1
82,2.733333333,3.19047619,2.9,3.125,3.5
83,3.133333333,2.571428571,2.3,3.5625,3.75
84,3.266666667,3.19047619,3.4,2.71875,3.6
85,2,2.476190476,3.3,2.40625,2.85
86,3.466666667,3.142857143,3.1,3,3.3
87,2.133333333,2.619047619,2.65,2.75,3.1
88,1,1.952380952,2.55,3.46875,3.9
89,1.2,2.666666667,3.2,2.90625,3.2
90,2.933333333,2.476190476,2.2,2.84375,3.95
91,2.466666667,2.714285714,2.85,2.3125,2.45
92,3.466666667,3,3.5,3.5,3.2
93,3.466666667,2.761904762,3.15,3.03125,3.8
94,2.733333333,2.761904762,2.7,3.28125,3.75
95,3,2.571428571,2.7,2.625,3.05
96,2.466666667,2.285714286,2.7,3.09375,3.45
97,2.866666667,2.619047619,3.25,2.625,3.2
98,3,3,3.85,3.125,3.05
99,3.466666667,3.333333333,3.55,2.71875,3.25
100,3,3.285714286,3.05,2.75,3.45
101,3,2.380952381,3.1,3.65625,3.45
102,3.533333333,2.380952381,2.75,3.09375,2.95
103,2.866666667,2.142857143,2.7,2.90625,3.6
104,3.133333333,2.714285714,3.65,2.84375,3.25
105,1.266666667,1.285714286,1.45,3.3125,4.25
106,3.466666667,3.714285714,3.8,3.0625,3.45
107,1.466666667,1.952380952,2.05,3.09375,3.1
108,3,3.380952381,3.6,2.90625,3.4
109,3.066666667,3.19047619,3.1,2.71875,3.15
110,1.2,2.857142857,3.4,3,3.35
111,2.333333333,3.380952381,2.9,3.1875,3.3
112,3.133333333,3.238095238,2.9,3.53125,3.35
113,2.666666667,2.571428571,3.25,3.1875,3.25
114,3.866666667,3.333333333,3.25,3.09375,3.7
115,3.866666667,3.428571429,3.35,3.625,4.3
116,1.533333333,1.714285714,2.45,2.6875,3.1
117,3.066666667,3.238095238,2.85,3,3.25
118,1.8,2.142857143,2.5,3.25,3.3
119,2.466666667,2.904761905,2.8,3.375,3.45
120,3.466666667,2.761904762,3.2,3.15625,3.5
121,3,3.19047619,3.5,3.0625,3.4
122,3.133333333,3.047619048,2.8,3.15625,3.1
123,3,2.952380952,2.75,2.96875,2.95
124,2.933333333,2.095238095,2.6,3.8125,4
125,2.866666667,2.476190476,3.3,3.3125,3.9
126,2.6,3.095238095,2.3,3.6875,3.95
127,4.733333333,2.761904762,2.75,2.96875,3.4
128,2.733333333,2.476190476,3.05,3.21875,3.35
129,3,2.047619048,2.65,3.28125,3.3
130,3.533333333,1.904761905,2.15,2.84375,3.15
131,2.933333333,2.571428571,2.4,3.03125,2.35
132,2.666666667,1.952380952,2.8,2.8125,3.85
133,3.333333333,3.523809524,3.25,2.625,3.05
134,2.866666667,2.904761905,3,3,3.6
135,3.266666667,3.333333333,3,3.21875,3.7
136,3.266666667,2.857142857,3.05,3.0625,3.2
137,4.933333333,3.80952381,2.85,3.5,3.7
138,2.8,2.523809524,2.45,2.8125,3.1
139,2.866666667,2.428571429,2.95,2.59375,3.2
140,3.533333333,3.380952381,3.55,2.78125,3.3
141,2.133333333,2.476190476,3.15,3.5,3.4
142,2.466666667,3.095238095,3.6,2.90625,3.1
143,2.133333333,2.80952381,2.65,3.15625,3.25
144,3,3.333333333,4,3.15625,3.4
145,4.2,4.476190476,3.95,3.34375,4.2
146,3.8,2.857142857,2.3,3.0625,3.15
147,3,2.333333333,2.2,3.0625,3.25
148,1.2,2.952380952,3.2,3.0625,3.7
149,4.466666667,4,4.2,2.40625,3.1
150,2.666666667,2.523809524,2.7,2.65625,3.25
151,1.2,2.476190476,2.75,3.15625,3.4
152,4,3.095238095,3.3,3.59375,3.45
153,2.8,3.238095238,2.85,2.90625,3.5
154,4.733333333,3.333333333,2.9,3.21875,3.6
155,4.133333333,3.142857143,2.85,3.28125,3.45
156,3.2,3.523809524,3.5,3.34375,3.35
157,1.266666667,2.333333333,2.6,2.46875,3.35
158,3.333333333,2.714285714,3.3,2.40625,2.7
159,5,2.952380952,3.15,3.21875,3.45
160,3.266666667,2.714285714,2.8,3.21875,3.75
161,2.2,2.952380952,3.1,3.28125,3.5
162,3.466666667,3.047619048,3.5,2.84375,3.25
163,3,2.619047619,3.1,2.90625,3.1
164,2.733333333,2.19047619,2.55,2.9375,3.45
165,2.333333333,2.80952381,2.4,2.90625,3.15
166,2.866666667,3.19047619,2.85,3.125,3
167,2.933333333,2.904761905,2.35,3.09375,2.7
168,1.533333333,1.904761905,1.65,3.34375,3.5
169,2.533333333,2.666666667,2.85,2.5,3.25
170,2.6,2.666666667,2.5,2.6875,3.05
171,1.933333333,2,2.45,2.78125,3.7
172,3.066666667,2.952380952,3.5,2.59375,3.1
173,1.133333333,2.095238095,2.9,3.09375,3.05
174,1.933333333,2.047619048,2.25,2.875,3.6
175,3.533333333,2.476190476,2.9,3.0625,3.65
176,3.4,2.904761905,2.9,2.875,3.25
177,2.466666667,3.142857143,3.25,2.625,3.05
178,3.6,3.428571429,3.65,3.15625,3.55
179,2.066666667,2.047619048,2.05,2.625,3.2
180,3.6,3.238095238,3.05,3.53125,3.45
181,1.866666667,2.333333333,2,3.4375,3.25
182,1.8,2.142857143,2.4,3.15625,3.7
183,2.266666667,2.666666667,2.8,3.21875,3.45
184,3,3.095238095,2.75,3.125,3.3
185,2.866666667,2.380952381,2.6,3.25,3.5
186,2.2,2.952380952,3.25,2.40625,2.45
187,3.266666667,3.666666667,3.3,2.6875,3.4
188,3.2,3.142857143,3.05,3.34375,3.5
189,3,3.095238095,3.15,2.6875,3.05
190,3.066666667,3.095238095,2.95,3,3.4
191,2.266666667,2.476190476,2.3,2.75,3.5
192,4.733333333,3.476190476,3.4,3.9375,4
193,3.066666667,2.666666667,3.3,3.28125,3.4
194,3.733333333,3.476190476,3.7,3.125,3.1
195,3.133333333,2.904761905,3.4,2.75,3.05
196,4.533333333,3.714285714,3.5,3.125,3.95
197,2.933333333,2.80952381,3.2,3.25,4.05
198,3.6,2.380952381,2.8,2.96875,3.45
199,3.066666667,3.523809524,3.7,3.3125,3.7
200,2.6,3.238095238,3.2,3.28125,3.1